*,use,folio,nr,geometry,agri_categories,use_all
804,['Pré'],5,[53.0],"POLYGON ((6.634086455833973 46.52330691683538, 6.634159220317084 46.52341908757419, 6.63416324152039 46.523428301053954, 6.634197464376802 46.52341993282371, 6.634193841872002 46.52341187029289, 6.6341947375203 46.52340757119157, 6.634197210898074 46.5234090238807, 6.634200799232719 46.52341938241029, 6.634260059114398 46.523405164058396, 6.634252623166002 46.52334598312501, 6.634250907261134 46.52332157339615, 6.634258275666694 46.52316174984861, 6.634228544004441 46.52314776158981, 6.634222320011864 46.5231468563673, 6.634175223557624 46.52312614327164, 6.634169419626772 46.52312495399474, 6.634166886462221 46.52312751930304, 6.634164811799122 46.52312721756118, 6.634150751932055 46.5231219513166, 6.634148702898629 46.52311992757518, 6.634092531810325 46.52309427058075, 6.634049181802044 46.523073296970935, 6.634047548560729 46.52307127617657, 6.634045053841876 46.52307125848344, 6.634035482208637 46.52307176465915, 6.634081829527381 46.52319867365821, 6.634090948364054 46.52322858946368, 6.634095154649211 46.52325330388702, 6.634096034633681 46.52327799472081, 6.634094556589011 46.52329348386712, 6.634086455833973 46.52330691683538))",['pre'],Pré
838,['pressoir'],5,[86.0],"POLYGON ((6.635657860555954 46.52389641574252, 6.635657114242599 46.52389066985844, 6.635746219542437 46.523854847684234, 6.635746245121316 46.523853125684774, 6.635738061428716 46.52384416983463, 6.635735583726487 46.52384300417903, 6.635735197776425 46.523840992236984, 6.635731897015911 46.52383924669609, 6.635706917377339 46.52381323719782, 6.635686473104375 46.52378984306457, 6.635683592404095 46.52378781346524, 6.635685696945219 46.52378610618007, 6.635704081326408 46.52378020866578, 6.635706190129945 46.523778214380265, 6.635755959267962 46.523759048565495, 6.635728634118006 46.52372297641932, 6.63572490904684 46.52372180193535, 6.635668050155269 46.52374235270683, 6.635654260810544 46.52374684758839, 6.635644940629724 46.52373042090494, 6.635647889544039 46.5237278585067, 6.635658768343442 46.523723343025296, 6.635667996765529 46.52371795477146, 6.6356574249477 46.5237018062602, 6.635634424244812 46.52371054139274, 6.635635179080721 46.52371571327716, 6.635455501681424 46.523774143611625, 6.635487848167967 46.52383608408127, 6.635521098808217 46.52389315143006, 6.635532137587182 46.52390585889844, 6.635552089288844 46.523934416114265, 6.635657860555954 46.52389641574252))",['pressoir'],"Logements, remise, cave, pressoir"
888,"['Hangar du matériel', 'fenil', 'écurie']",5,[130.0],,"['ecurie', 'fenil', 'hangar']","Hangar du matériel, écurie, fenil "
905,['Hangar'],6,[14.0],,['hangar'],Hangar
913,['Hangar'],6,[24.0],"POLYGON ((6.636366799935395 46.525009995735324, 6.636375531956457 46.52498523177094, 6.636375126630657 46.52498436289144, 6.636328751655892 46.52498114823211, 6.636300789394825 46.52497719775898, 6.636295771252831 46.524977162269955, 6.636294077115401 46.52497859364415, 6.636295284519447 46.52498177756501, 6.636293577527788 46.524984074861514, 6.636289104381731 46.52500367286018, 6.636366799935395 46.525009995735324))",['hangar'],Hangar
915,['Ecurie'],6,[25.1],,['ecurie'],"Ecurie, remise, bûcher, fours, magasin"
920,['Pré'],6,[29.0],"POLYGON ((6.636617250906307 46.52523981667667, 6.636616281772561 46.52524875862864, 6.636612919195609 46.52524988954177, 6.636613307395195 46.52525191298355, 6.636820986085535 46.52540493324931, 6.636833971131587 46.52540358166491, 6.636843632131433 46.525400763231836, 6.636916064607616 46.525367211925385, 6.636927829348331 46.52536354233842, 6.636939223 46.52535669474639, 6.636808460735976 46.52526252989393, 6.636729508930082 46.52519990758696, 6.636714552937941 46.5251931624378, 6.636701218279703 46.52518989279997, 6.63663268812801 46.52518594431643, 6.636621569766511 46.52523060973375, 6.636619367506873 46.52523809961313, 6.636617259472274 46.52523923939507, 6.636617250906307 46.52523981667667))",['pre'],Pré
921,"[""Maison d'habitation avec moulin""]",6,[30.0],"POLYGON ((6.63690367321891 46.52527215158187, 6.636944817625767 46.52526147283258, 6.63703219304994 46.52523553249317, 6.637043518170101 46.525233303143494, 6.637046057218089 46.52523130038587, 6.637054024050938 46.52522991332021, 6.637056985559492 46.525227624876166, 6.637074208008865 46.525222550479974, 6.637100276449491 46.525213208513186, 6.637098672214645 46.5252085784424, 6.637006789239297 46.525087264745444, 6.637003128366731 46.52508031077273, 6.636996122060857 46.52507333316118, 6.636991232338772 46.525064638478696, 6.636907128260671 46.52495463783398, 6.636907136823502 46.52495406055237, 6.63690383849243 46.524950861862074, 6.63687480436117 46.52496278086407, 6.636870997939312 46.524965640674395, 6.636835652578737 46.524980113103794, 6.636833104971122 46.52498269313832, 6.636742571364303 46.525024199237514, 6.636772003665957 46.525070017295974, 6.636770288127447 46.52507289188126, 6.636858235658584 46.52520572480345, 6.636860693360171 46.52520920622513, 6.63690367321891 46.52527215158187))",['moulin'],"Maison d'habitation avec moulin, machine à vapeur, fours, bureau, magasin"
927,['Pré'],6,[35.0],"POLYGON ((6.637188010501767 46.52527589259973, 6.637186717439656 46.52527848150458, 6.637145777240143 46.52530359533616, 6.637161027375091 46.52531871396624, 6.637161863737461 46.525318719874726, 6.637257556911647 46.525267723741834, 6.637264320556489 46.52526286410997, 6.637264785812098 46.52525969201491, 6.637277058555281 46.525249963888506, 6.63728600296703 46.525239057567305, 6.637291256500335 46.52522321776779, 6.637290211649229 46.525209065506516, 6.637293569930113 46.525208223214186, 6.63729566083181 46.52520823798292, 6.637270679419492 46.52514426522758, 6.637239772628104 46.525141448871985, 6.637238462453029 46.52514519234073, 6.637217924562992 46.52514822264391, 6.637198999471996 46.52515530573119, 6.637185476476193 46.52516473634591, 6.637175268956219 46.52517621107828, 6.637168351232789 46.52519146177405, 6.637165239928917 46.52520385264936, 6.637164350941711 46.52523560018429, 6.637160752972382 46.52525260635817, 6.637144258602274 46.52529319244987, 6.637159838301186 46.52528608573785, 6.63716318802873 46.52528582073095, 6.637183419072286 46.525275282822406, 6.637188010501767 46.52527589259973), (6.637204396047491 46.52518623165541, 6.637205496513673 46.52519663158691, 6.63719544306823 46.525197715251814, 6.63719085592522 46.525196816834026, 6.637191846362673 46.52518643167306, 6.637204396047491 46.52518623165541))",['pre'],Pré
929,['Pré'],6,[37.1],,['pre'],Pré
